Wall time,Step,Value
1589012062.531876,0,0.1143999993801117
1589012157.078062,1,0.10298000276088715
1589012251.439002,2,0.10134000331163406
1589012341.036292,3,0.10063999891281128
1589012439.780653,4,0.10220000147819519
1589012534.23593,5,0.1031000018119812
1589012630.743522,6,0.10496000200510025
1589012726.712326,7,0.10837999731302261
1589012824.219019,8,0.11456000059843063
1589012920.555584,9,0.12336000055074692
1589013015.731043,10,0.1408199965953827
1589013109.349008,11,0.1549600064754486
1589013202.367931,12,0.1812400072813034
1589013297.535817,13,0.20453999936580658
1589013393.44858,14,0.22405999898910522
1589013486.249992,15,0.23914000391960144
1589013582.844921,16,0.24558000266551971
1589013676.048222,17,0.25714001059532166
1589013765.770527,18,0.2613599896430969
1589013856.704104,19,0.26344001293182373
1589013949.002164,20,0.26927998661994934
1589014042.252644,21,0.27268001437187195
1589014138.364672,22,0.2784999907016754
1589014232.145023,23,0.28345999121665955
1589014326.708717,24,0.2856999933719635
1589014422.264284,25,0.2904999852180481
1589014514.409125,26,0.2978399991989136
1589014608.761486,27,0.29923999309539795
1589014701.636997,28,0.30483999848365784
1589014796.354888,29,0.3102400004863739
