Wall time,Step,Value
1588174068.228554,0,1.3413900136947632
1588174229.73906,1,1.3187081813812256
1588174391.424255,2,1.3115606307983398
1588174550.10623,3,1.298870325088501
1588174708.2011,4,1.2949055433273315
1588174865.425621,5,1.2895480394363403
1588175024.142306,6,1.2888785600662231
1588175183.517338,7,1.2809545993804932
1588175339.204777,8,1.2784736156463623
1588175494.971966,9,1.273151159286499
1588175655.212762,10,1.2740501165390015
1588175810.520413,11,1.2775208950042725
1588175967.49989,12,1.273694396018982
1588176122.594578,13,1.267836093902588
1588176276.006923,14,1.2654553651809692
1588176438.108248,15,1.2647078037261963
1588176604.652424,16,1.2650939226150513
1588176770.237594,17,1.2616910934448242
1588176936.36582,18,1.2544320821762085
1588177102.443821,19,1.2542182207107544
1588177268.35241,20,1.2531367540359497
1588177431.209712,21,1.2580043077468872
1588177587.67749,22,1.2522544860839844
1588177741.969125,23,1.246916651725769
1588177897.159421,24,1.2556484937667847
1588178052.16844,25,1.2434451580047607
1588178208.536699,26,1.2489737272262573
1588178364.719893,27,1.2451765537261963
1588178519.345134,28,1.2429354190826416
1588178675.440503,29,1.2437647581100464
